Pais,Nombre_cliente,Datos_pedido,Estado,Producto,Categoria,Marca,Costo,Ventas,Cantidad,Costo_Totales,Ventas_totales,Ganancias,Ganancias_Totales
Colombia,Moinuddin Saifi,22/01/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,180.0,540.0
Alemania,Ramkrishna Das Adhikary,22/01/2020,Processing,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,4.0,42000.0,54600.0,3150.0,12600.0
Brasil,Ranjeet Mandal,23/01/2020,Processing,2 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
Alemania,Ashwini Adsare,24/01/2020,Processing,257 GB SSD,SSD,Samsung,4500.0,5850.0,4.0,18000.0,23400.0,1350.0,5400.0
Australia,Rajesh Variya,25/01/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
Australia,Amit Singh,26/01/2020,Processing,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,2.0,25000.0,32500.0,3750.0,7500.0
Australia,Vinod Mehta,26/01/2020,Shipped,9 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,1050.0,3150.0
Colombia,Jignesh Mhatre,26/01/2020,Order,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,1350.0,5400.0
Francia,Rahul Kashyap,26/01/2020,Order,4 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,630.0,1890.0
Brasil,Mohammed Abdul Kaleem,27/01/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,3.0,3450.0,4485.0,345.0,1035.0
Brasil,Chandrakant Kasbe,28/01/2020,Order,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,105.0,105.0
Francia,Rohan Kale,29/01/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,2850.0,8550.0
China,Aniruddha Kekapure,30/01/2020,Processing,3 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
Brasil,Aslam Raza,31/01/2020,Delivered,513 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Mexico,Roshan Zameer,01/02/2020,Shipped,RYZEN 3rd gen. 3501,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Reino Unido,Rakesh Kumar Sharma,01/02/2020,Shipped,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
China,Shivanand Sahani,01/02/2020,Shipped,17 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,1965.0,5895.0
Colombia,Kunal Patra,01/02/2020,Shipped,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,2295.0,6885.0
Colombia,Bijendra,02/02/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,1.0,1150.0,1495.0,345.0,345.0
China,Kranti Bheke,03/02/2020,Shipped,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,255.0,255.0
Colombia,Jagdeep,03/02/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,195.0,390.0
Alemania,Adhir Samal,03/02/2020,Shipped,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,2250.0
E.E.U.U,Dannana Jhammi,04/02/2020,Shipped,3 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,3000.0,9000.0
Reino Unido,Vipin Kumar,05/02/2020,Shipped,2 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,3150.0,6300.0
Francia,Ranjeet Kumar,06/02/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
India,Sajal Singhal,07/02/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Francia,Akhilesh Kumar,08/02/2020,Shipped,5 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,504.0,1008.0
Mexico,Suvankar Chakraborty,09/02/2020,Order,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,1.0,6540.0,8502.0,1962.0,1962.0
China,Suvankar Adhikary,10/02/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,804.0,804.0
China,Rahul Kumar Prajapati,11/02/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,2475.0,2475.0
India,Sagar Jeur,12/02/2020,Shipped,9 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,795.0,2385.0
Reino Unido,Rhushikesh Mane,13/02/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,3.0,37650.0,48945.0,3765.0,11295.0
China,Ashish Kumar,14/02/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,3.0,43500.0,56550.0,4350.0,13050.0
Reino Unido,Javed Akhter,15/02/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,3.0,2400.0,3120.0,240.0,720.0
E.E.U.U,Haridas Balraj,16/02/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,180.0,540.0
Italia,Kundan Kumar,17/02/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,3.0,31500.0,40950.0,3150.0,9450.0
Francia,Atif Siddiqui,18/02/2020,Processing,3 TB HDD,HDD,Western Digital,6500.0,8450.0,2.0,13000.0,16900.0,1950.0,3900.0
Alemania,Aditya Agarwal,19/02/2020,Delivered,258 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
Reino Unido,Firdoush Jabee,19/02/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
Brasil,Jay Prakash Kumar,19/02/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,3750.0,15000.0
Italia,Ashish Pandey,19/02/2020,Processing,10 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,1050.0,2100.0
Italia,Ajay Sharma,20/02/2020,Delivered,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
India,Moinuddin Saifi,21/02/2020,Shipped,5 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,630.0,1890.0
Japon,Ramkrishna Das Adhikary,22/02/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,1.0,1150.0,1495.0,345.0,345.0
Mexico,Ranjeet Mandal,23/02/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,105.0,105.0
E.E.U.U,Ashwini Adsare,24/02/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,1.0,9500.0,12350.0,2850.0,2850.0
Reino Unido,Rajesh Variya,25/02/2020,Shipped,4 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
Reino Unido,Amit Singh,26/02/2020,Order,514 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Alemania,Vinod Mehta,27/02/2020,Processing,RYZEN 3rd gen. 3502,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Brasil,Jignesh Mhatre,28/02/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,2100.0,2100.0
Colombia,Rahul Kashyap,29/02/2020,Shipped,18 GB DDR4 RAM,NIC,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,1965.0,3930.0
Australia,Mohammed Abdul Kaleem,01/03/2020,Order,Standard ATX motherboard,Printer,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,2295.0,6885.0
Japon,Chandrakant Kasbe,02/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
Reino Unido,Rohan Kale,03/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,255.0,255.0
Mexico,Aniruddha Kekapure,04/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,3.0,1950.0,2535.0,195.0,585.0
India,Aslam Raza,05/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,4.0,30000.0,39000.0,2250.0,9000.0
Italia,Roshan Zameer,06/03/2020,Processing,4 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,3000.0,6000.0
Mexico,Rakesh Kumar Sharma,07/03/2020,Delivered,3 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,3150.0,9450.0
Alemania,Shivanand Sahani,07/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Australia,Kunal Patra,07/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,2100.0,4200.0
Francia,Bijendra,07/03/2020,Processing,6 GB DDR4 Ram,NIC,Hynix,1680.0,2184.0,4.0,6720.0,8736.0,504.0,2016.0
Australia,Kranti Bheke,07/03/2020,Delivered,Micro ATX motherboard,Printer,MSI,6540.0,8502.0,1.0,6540.0,8502.0,1962.0,1962.0
Colombia,Jagdeep,07/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,804.0,2412.0
Alemania,Adhir Samal,07/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,2475.0,4950.0
Japon,Dannana Jhammi,08/03/2020,Processing,10 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,795.0,2385.0
Japon,Vipin Kumar,09/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,1.0,12550.0,16315.0,3765.0,3765.0
Mexico,Ranjeet Kumar,10/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
Mexico,Sajal Singhal,11/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,240.0,480.0
Reino Unido,Akhilesh Kumar,12/03/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,1.0,600.0,780.0,180.0,180.0
E.E.U.U,Suvankar Chakraborty,13/03/2020,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Japon,Suvankar Adhikary,14/03/2020,Shipped,4 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Mexico,Rahul Kumar Prajapati,15/03/2020,Order,259 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
Mexico,Sagar Jeur,16/03/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
Colombia,Rhushikesh Mane,16/03/2020,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,3750.0,11250.0
Reino Unido,Ashish Kumar,16/03/2020,Shipped,11 GB DDR4 RAM,RAM,Hynix,3500.0,4550.0,1.0,3500.0,4550.0,1050.0,1050.0
China,Javed Akhter,16/03/2020,Order,BTX motherboard,Motherboard,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,1350.0,5400.0
Colombia,Haridas Balraj,16/03/2020,Processing,6 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,630.0,1890.0
Brasil,Kundan Kumar,16/03/2020,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,345.0,1380.0
Italia,Atif Siddiqui,16/03/2020,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,105.0,315.0
Brasil,Aditya Agarwal,16/03/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,2850.0,8550.0
Mexico,Firdoush Jabee,16/03/2020,Processing,5 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
India,Jay Prakash Kumar,16/03/2020,Delivered,515 GB M.2,SSD,Samsung,6500.0,8450.0,2.0,13000.0,16900.0,1950.0,3900.0
Italia,Ashish Pandey,17/03/2020,Shipped,RYZEN 3rd gen. 3503,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
China,Ajay Sharma,18/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
Japon,Moinuddin Saifi,18/03/2020,Processing,19 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,1965.0,3930.0
Mexico,Ramkrishna Das Adhikary,18/03/2020,Delivered,Standard ATX motherboard,Motherboard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,2295.0,9180.0
Colombia,Ranjeet Mandal,18/03/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
Alemania,Vinod Singh,18/03/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,4.0,3400.0,4420.0,255.0,1020.0
E.E.U.U,Ajay Mehta,18/03/2020,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,4.0,2600.0,3380.0,195.0,780.0
Francia,Vikas Bhalekar,18/03/2020,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,2250.0
Reino Unido,Vinod Mehta,18/03/2020,Shipped,5 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,3000.0,6000.0
Mexico,Jignesh Mhatre,19/03/2020,Order,4 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,3150.0,9450.0
Alemania,Sharmili Pandit,19/03/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Australia,Vijaya singh,19/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,2100.0,2100.0
China,Dilip Rathod,19/03/2020,Shipped,7 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,504.0,1008.0
Colombia,Rohan Kale,19/03/2020,Order,Micro ATX motherboard,Motherboard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,1962.0,3924.0
China,Aniruddha Kekapure,19/03/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,804.0,804.0
Alemania,Jagjeet Variya,19/03/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,2475.0,2475.0
Australia,Roshan Zameer,20/03/2020,Shipped,11 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,795.0,2385.0
Mexico,Binod Kumar,21/03/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,3765.0,15060.0
India,Shivanand Sahani,22/03/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
China,Vijay Mehta,23/03/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,240.0,480.0
Italia,Bijendra,24/03/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,180.0,540.0
Colombia,Kranti Bheke,24/03/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Italia,Shanti Giri,24/03/2020,Processing,5 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
Brasil,Adhir Samal,24/03/2020,Delivered,260 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
E.E.U.U,Dannana Jhammi,24/03/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Mexico,Vipin Kumar,24/03/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,3750.0,15000.0
Mexico,Prakash Chamka,24/03/2020,Processing,12 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,1050.0,3150.0
Brasil,Sajal Singhal,24/03/2020,Delivered,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,1350.0,5400.0
Alemania,Akhilesh Kumar,24/03/2020,Shipped,7 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,630.0,1890.0
Colombia,Suvankar Chakraborty,25/03/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
Australia,Suvankar Adhikary,25/03/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,105.0,315.0
Alemania,Rahul Kumar Prajapati,25/03/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,4.0,38000.0,49400.0,2850.0,11400.0
Japon,Sagar Jeur,25/03/2020,Shipped,6 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Alemania,Rhushikesh Mane,25/03/2020,Order,516 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
India,Vishal Singh,25/03/2020,Processing,RYZEN 3rd gen. 3504,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Colombia,Javed Akhter,25/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
Francia,Haridas Balraj,25/03/2020,Shipped,20 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,1965.0,5895.0
Australia,Kundan Kumar,25/03/2020,Order,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,2295.0,9180.0
Australia,Vinod Bhave,26/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
Australia,Aditya Agarwal,26/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,2.0,1700.0,2210.0,255.0,510.0
Reino Unido,Firdoush Jabee,26/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,195.0,195.0
China,Jay Prakash Kumar,26/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,2.0,15000.0,19500.0,2250.0,4500.0
Japon,Rajiv Singh,26/03/2020,Processing,6 TB HDD,HDD,Seagate,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
Reino Unido,Ajay Sharma,26/03/2020,Delivered,5 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,3150.0,6300.0
Italia,Moinuddin Saifi,26/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
Italia,Ramkrishna Das Adhikary,26/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Italia,Ranjeet Mandal,26/03/2020,Processing,8 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,504.0,1008.0
Italia,Ashwini Adsare,26/03/2020,Delivered,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,3.0,19620.0,25506.0,1962.0,5886.0
Francia,Rajesh Variya,26/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,804.0,804.0
Australia,Amit Singh,26/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,2475.0,9900.0
Mexico,Vinod Mehta,26/03/2020,Processing,12 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,795.0,3180.0
Japon,Jignesh Mhatre,26/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,3765.0,15060.0
E.E.U.U,Rahul Kashyap,26/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
Italia,Mohammed Abdul Kaleem,27/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,240.0,960.0
Colombia,Chandrakant Kasbe,27/03/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,2.0,1200.0,1560.0,180.0,360.0
Australia,Rohan Kale,27/03/2020,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Japon,Aniruddha Kekapure,27/03/2020,Shipped,6 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Brasil,Aslam Raza,27/03/2020,Order,261 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
Brasil,Roshan Zameer,27/03/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Italia,Rakesh Kumar Sharma,27/03/2020,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,1.0,12500.0,16250.0,3750.0,3750.0
Reino Unido,Shivanand Sahani,27/03/2020,Shipped,13 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,1050.0,2100.0
Reino Unido,Kunal Patra,27/03/2020,Order,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,3.0,13500.0,17550.0,1350.0,4050.0
E.E.U.U,Bijendra,27/03/2020,Processing,8 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,4.0,8400.0,10920.0,630.0,2520.0
India,Kranti Bheke,27/03/2020,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,3.0,3450.0,4485.0,345.0,1035.0
Australia,Jagdeep,27/03/2020,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,4.0,1400.0,1820.0,105.0,420.0
Alemania,Adhir Samal,27/03/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,4.0,38000.0,49400.0,2850.0,11400.0
Japon,Dannana Jhammi,27/03/2020,Processing,7 TB HDD,HDD,Western Digital,10000.0,13000.0,2.0,20000.0,26000.0,3000.0,6000.0
Italia,Vipin Kumar,27/03/2020,Delivered,517 GB M.2,SSD,Samsung,6500.0,8450.0,4.0,26000.0,33800.0,1950.0,7800.0
Italia,Ranjeet Kumar,27/03/2020,Shipped,RYZEN 3rd gen. 3505,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
Alemania,Sajal Singhal,27/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
Australia,Akhilesh Kumar,27/03/2020,Processing,21 GB DDR4 RAM,NIC,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,1965.0,3930.0
